
===== 2026-04-06T19:03:04-04:00 | T5_scene_from_vision =====
cwd=/home/carrt-cse-project/workspace/ros2_kortex_ws
cmd=ros2 run adl_tasks scene_from_vision --ros-args -p cube_world_x_offset_m:=-0.03 

[INFO] [1775516585.711499591] [scene_from_vision_node]: Scene From Vision Node Started
[INFO] [1775516585.869326602] [scene_from_vision_node]: SceneFromVision: Updating planning scene. Tracking 5 object shape(s). memory_mode=True, scan_duration_s=5.0, scan_min_samples=3, continuous_scene_updates=False.
[INFO] [1775516688.485414597] [scene_from_vision_node]: Scene scan started for 5.0s. Visible detections will be sampled, filtered, and committed at scan end.
[WARN] [1775516693.684674981] [scene_from_vision_node]: Scan rejected tag 2: raw=39, accepted=0, required=3.
[INFO] [1775516693.701675535] [scene_from_vision_node]: Scan committed tag 3: raw=37, accepted=37, rejected=0, median tag pose x=0.611, y=-0.109, z=-0.008.
[INFO] [1775516693.703018757] [scene_from_vision_node]: Published obj_3 (new) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516693.704405769] [scene_from_vision_node]: Scene scan complete. Remembered object IDs: [3]
[INFO] [1775516695.870389124] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516697.870652647] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516699.872078774] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516702.371200634] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516704.376684303] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516706.870651085] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516708.871973968] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516711.370652139] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516713.370484256] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516715.371351333] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516717.370626778] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516719.873572402] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516722.374294499] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516724.873054324] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516727.371930181] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516729.371437697] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516731.371934871] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516733.873557273] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516736.370399607] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516738.373542182] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516740.876399916] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516743.374522958] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516745.372735967] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516747.375687348] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516749.871807299] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
[INFO] [1775516752.372324406] [scene_from_vision_node]: Published obj_3 (heartbeat) at x=0.545, y=-0.104, z=0.099
